#framerate (fps):	10.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon	Intersection Polygon
00003	 33	 0.1600	 0.8100	 0.0000	 0.7164	 0.9808	(((-1200.000000, 14708.800000), (-456.074343, 15119.446963), (11498.806585, 0.000000), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1200.000000, -10000.000000), (-1200.000000, 14708.800000)))	(((-672.463590, 15000.000098), (-361.627934, 14999.999729), (5000.000000, 8219.099378), (5000.000000, 5000.000000), (-1200.000000, 5000.000000), (-1200.000000, 14708.800000), (-672.463590, 15000.000098)))
00003	 17	 0.5900	 1.1500	 0.0000	 0.9595	 0.5831	(((330.952381, 16088.095238), (2410.927673, 17110.455975), (8014.129032, 16128.451613), (14792.754472, 0.000000), (11498.838430, 0.000000), (-456.074343, 15119.446963), (330.952381, 16088.095238)))	(((-361.627457, 14999.999443), (5000.000000, 15000.000000), (5000.000000, 8219.117570), (-361.627457, 14999.999443)))
00004	 23	 -0.9000	 1.0200	 0.0000	 1.1595	 0.5126	(((-3481.444573, 13518.637786), (-11863.001750, -0.002823), (-13524.096470, -0.002350), (-13041.358025, 13355.761317), (-10307.865169, 15178.089888), (-7827.082909, 15374.587492), (-3481.444573, 13518.637786)))	(((-5000.000000, 11069.353926), (-4999.999935, 14167.187472), (-3481.444573, 13518.637786), (-5000.000000, 11069.353926)))
00004	 47	 -0.4900	 1.9800	 0.0000	 1.8127	 0.9996	(((-7129.166667, 22214.166667), (-3183.676976, 23003.264605), (607.580458, 15274.932144), (-423.210794, 14077.884239), (-1200.000000, 13680.314961), (-3481.444573, 13518.637786), (-7827.082909, 15374.587492), (-7129.166667, 22214.166667)))	(((-4999.999702, 14167.187373), (-5000.000000, 15000.000000), (370.833652, 15000.000370), (-423.210794, 14077.884239), (-1200.000000, 13680.314961), (-3481.444573, 13518.637786), (-4999.999702, 14167.187373)))
00004	 2	 -0.4000	 0.7100	 0.0000	 0.9823	 1.0008	(((-1200.000000, 13680.314961), (-1200.000000, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-11863.027423, -0.044231), (-3481.444573, 13518.637786), (-1200.000000, 13680.314961)))	(((-5000.000000, 11069.355052), (-3481.444573, 13518.637786), (-1200.000000, 13680.314961), (-1200.000000, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 11069.355052)))
00004	 33	 0.1600	 0.7100	 0.0000	 0.7858	 0.9818	(((-1200.000000, 13680.314961), (-423.210794, 14077.884239), (10708.139050, 0.000000), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1200.000000, -10000.000000), (-1200.000000, 13680.314961)))	(((5000.000000, 7219.118839), (5000.000000, 5000.000000), (-1200.000000, 5000.000000), (-1200.000000, 13680.314961), (-423.210794, 14077.884239), (5000.000000, 7219.118839)))
00004	 17	 0.5900	 1.0500	 0.0000	 1.0002	 0.4707	(((607.580458, 15274.932144), (2536.034576, 16166.234468), (7632.736912, 15350.762094), (14481.537621, 0.000000), (10708.141295, 0.000000), (-423.210794, 14077.884239), (607.580458, 15274.932144)))	(((370.833430, 15000.000113), (5000.000000, 15000.000000), (5000.000000, 7219.118708), (-423.210794, 14077.884239), (370.833430, 15000.000113)))
00005	 23	 -0.8700	 0.9300	 0.0000	 1.2267	 0.6831	(((-3098.644986, 12502.032520), (-11433.330481, 0.004279), (-13174.999790, 0.004209), (-12536.531365, 12769.372694), (-10290.648379, 14213.154613), (-7423.072970, 14413.884892), (-3098.644986, 12502.032520)))	(((-5000.000000, 9650.000702), (-4999.999845, 13342.631510), (-3098.644986, 12502.032520), (-5000.000000, 9650.000702)))
00005	 47	 -0.4500	 1.8800	 0.0000	 1.7771	 0.9758	(((-6687.819026, 21619.373550), (-3062.500000, 22425.000000), (940.517241, 14418.965517), (-346.018580, 12980.258792), (-1150.000000, 12594.094488), (-3098.644986, 12502.032520), (-7423.072970, 14413.884892), (-6687.819026, 21619.373550)))	(((-5000.000129, 13342.631636), (-5000.000000, 15000.000000), (649.999833, 15000.000334), (940.517241, 14418.965517), (-346.018580, 12980.258792), (-1150.000000, 12594.094488), (-3098.644986, 12502.032520), (-5000.000129, 13342.631636)))
00005	 2	 -0.3900	 0.6100	 0.0000	 1.0968	 0.9109	(((-1150.000000, 12594.094488), (-1150.000000, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-11433.324439, 0.013342), (-3098.644986, 12502.032520), (-1150.000000, 12594.094488)))	(((-5000.000000, 9650.000000), (-3098.644986, 12502.032520), (-1150.000000, 12594.094488), (-1150.000000, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 9650.000000)))
00005	 8	 0.0700	 2.1400	 0.0000	 1.6054	 0.9121	(((1885.355364, 27133.521956), (4969.402985, 24450.000000), (2764.241703, 15215.887131), (940.517241, 14418.965517), (-3062.500000, 22425.000000), (-807.712305, 26447.053726), (1885.355364, 27133.521956)))	(((2270.192813, 15000.000221), (940.517241, 14418.965517), (649.999575, 15000.000849), (2270.192813, 15000.000221)))
00005	 33	 0.1600	 0.6100	 0.0000	 0.8732	 0.9800	(((-1150.000000, 12594.094488), (-346.018580, 12980.258792), (9917.402613, 0.000000), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1150.000000, -10000.000000), (-1150.000000, 12594.094488)))	(((5000.000000, 6219.092951), (5000.000000, 5000.000000), (-1150.000000, 5000.000000), (-1150.000000, 12594.094488), (-346.018580, 12980.258792), (5000.000000, 6219.092951)))
00005	 17	 0.5900	 0.9500	 0.0000	 1.0393	 0.6101	(((940.517241, 14418.965517), (2764.241703, 15215.887131), (7193.871078, 14570.795474), (14359.837385, 0.000000), (9917.437134, 0.000000), (-346.018580, 12980.258792), (940.517241, 14418.965517)))	(((2270.191374, 14999.999592), (4246.668634, 14999.999713), (5000.000301, 14890.291218), (5000.000000, 6219.114263), (-346.018580, 12980.258792), (940.517241, 14418.965517), (2270.191374, 14999.999592)))
00005	 29	 0.7400	 1.9800	 0.0000	 0.9270	 0.6549	(((2764.241703, 15215.887131), (4969.402985, 24450.000000), (19331.707317, 24450.000000), (21331.722384, 23479.578488), (7193.871078, 14570.795474), (2764.241703, 15215.887131)))	(((4246.663654, 15000.000439), (5000.000000, 15000.000000), (4999.999814, 14890.291289), (4246.663654, 15000.000439)))
00006	 23	 -0.8600	 0.8800	 0.0000	 1.3402	 0.6263	(((-2651.497812, 11521.070347), (-11721.272666, 0.004992), (-12587.333201, 0.004964), (-12261.280185, 12226.993053), (-10187.307033, 13542.195540), (-7006.660974, 13674.722459), (-2651.497812, 11521.070347)))	(((-5000.000000, 8537.839600), (-4999.998538, 12682.416860), (-2651.497812, 11521.070347), (-5000.000000, 8537.839600)))
00006	 47	 -0.4100	 1.7900	 0.0000	 1.7928	 0.9750	(((-6261.254613, 20979.704797), (-2932.704403, 21762.893082), (1174.290221, 13864.826498), (-716.666667, 11737.500000), (-1150.000000, 11544.531250), (-2651.497812, 11521.070347), (-7006.660974, 13674.722459), (-6261.254613, 20979.704797)))	(((-4999.999018, 12682.417097), (-5000.000000, 15000.000000), (583.999666, 15000.000643), (1174.290221, 13864.826498), (-716.666667, 11737.500000), (-1150.000000, 11544.531250), (-2651.497812, 11521.070347), (-4999.999018, 12682.417097)))
00006	 2	 -0.3900	 0.5100	 0.0000	 1.1878	 0.8222	(((-2651.497812, 11521.070347), (-1150.000000, 11544.531250), (-1150.000000, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-11721.302107, -0.032406), (-2651.497812, 11521.070347)))	(((-5000.000000, 8537.837392), (-2651.497812, 11521.070347), (-1150.000000, 11544.531250), (-1150.000000, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 8537.837392)))
00006	 8	 0.0900	 2.0500	 0.0000	 1.6796	 0.8829	(((1849.022427, 26273.576768), (4964.062500, 23750.000000), (2970.574887, 14636.913767), (1174.290221, 13864.826498), (-2932.704403, 21762.893082), (-403.571429, 25737.244898), (1849.022427, 26273.576768)))	(((3050.000210, 15000.000961), (2970.574887, 14636.913767), (1174.290221, 13864.826498), (583.999610, 15000.000751), (3050.000210, 15000.000961)))
00006	 33	 0.1600	 0.5100	 0.0000	 0.9236	 0.9600	(((-1150.000000, 11544.531250), (-716.666667, 11737.500000), (10461.923270, -0.019433), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1150.000000, -10000.000000), (-1150.000000, 11544.531250)))	(((5000.000000, 5734.998869), (5000.000000, 5000.000000), (-1150.000000, 5000.000000), (-1150.000000, 11544.531250), (-716.666667, 11737.500000), (5000.000000, 5734.998869)))
00006	 17	 0.5800	 0.9100	 0.0000	 1.1631	 0.6041	(((1174.290221, 13864.826498), (2970.574887, 14636.913767), (7120.506912, 14014.423963), (13161.206997, -0.000232), (10461.902245, 0.002642), (-716.666667, 11737.500000), (1174.290221, 13864.826498)))	(((5000.000054, 14332.499992), (5000.000000, 5735.001125), (-716.666667, 11737.500000), (1174.290221, 13864.826498), (2970.574887, 14636.913767), (5000.000054, 14332.499992)))
00006	 29	 0.7300	 1.9100	 0.0000	 0.9186	 0.6538	(((2970.574887, 14636.913767), (4964.062500, 23750.000000), (18750.000000, 23750.000000), (21608.385093, 22320.807453), (7120.506912, 14014.423963), (2970.574887, 14636.913767)))	(((3049.999763, 14999.998918), (5000.000000, 15000.000000), (4999.999692, 14332.500046), (2970.574887, 14636.913767), (3049.999763, 14999.998918)))
00007	 23	 -0.8500	 0.8500	 0.0000	 1.4769	 0.5665	(((-11667.184587, 584.307023), (-12144.665493, 11725.528169), (-10021.837010, 13069.090500), (-6789.489751, 13139.358918), (-2159.116573, 10524.559947), (-11667.184587, 584.307023)))	(((-4999.999475, 12128.823233), (-2159.116573, 10524.559947), (-5000.000000, 7554.545172), (-4999.999475, 12128.823233)))
00007	 2	 -0.3900	 0.4100	 0.0000	 1.2637	 0.7344	(((-2159.116573, 10524.559947), (-1104.101562, 10508.203125), (-1100.000000, 10500.000000), (-1100.000000, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-11873.716190, -0.026295), (-11667.184587, 584.307023), (-2159.116573, 10524.559947)))	(((-5000.000000, 7554.543830), (-2159.116573, 10524.559947), (-1104.101562, 10508.203125), (-1100.000000, 10500.000000), (-1100.000000, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 7554.543830)))
00007	 47	 -0.3700	 1.7000	 0.0000	 1.8151	 0.9582	(((-5779.144157, 20356.113165), (-2829.564782, 21123.811906), (1367.135186, 13376.058117), (-1104.101562, 10508.203125), (-2159.116573, 10524.559947), (-6789.489751, 13139.358918), (-5779.144157, 20356.113165)))	(((-4999.999198, 12128.823076), (-5000.000000, 15000.000000), (487.499907, 15000.000171), (1367.135186, 13376.058117), (-1104.101562, 10508.203125), (-2159.116573, 10524.559947), (-4999.999198, 12128.823076)))
00007	 8	 0.1100	 1.9600	 0.0000	 1.7565	 0.8472	(((1367.135186, 13376.058117), (-2829.564782, 21123.811906), (-195.815199, 24878.305993), (1921.591179, 25357.718757), (4956.557377, 23100.000000), (3198.535565, 14163.389121), (1367.135186, 13376.058117)))	(((487.500487, 14999.999101), (3363.114775, 15000.000108), (3198.535565, 14163.389121), (1367.135186, 13376.058117), (487.500487, 14999.999101)))
00007	 33	 0.1700	 0.4100	 0.0000	 0.9683	 0.8801	(((-1100.000000, 10500.000000), (11446.215139, 44.820717), (11476.533428, 0.042937), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1100.000000, -10000.000000), (-1100.000000, 10500.000000)))	(((5000.000000, 5416.666261), (5000.000000, 5000.000000), (-1100.000000, 5000.000000), (-1100.000000, 10500.000000), (5000.000000, 5416.666261)))
00007	 17	 0.5700	 0.8900	 0.0000	 1.3551	 0.5554	(((1367.135186, 13376.058117), (3198.535565, 14163.389121), (7359.674235, 13506.367226), (11446.215139, 44.820717), (-1100.000000, 10500.000000), (-1104.101562, 10508.203125), (1367.135186, 13376.058117)))	(((4999.999602, 13878.947431), (5000.000000, 5416.666800), (-1100.000000, 10500.000000), (-1104.101562, 10508.203125), (1367.135186, 13376.058117), (3198.535565, 14163.389121), (4999.999602, 13878.947431)))
00007	 29	 0.7200	 1.8400	 0.0000	 0.9009	 0.6428	(((3198.535565, 14163.389121), (4956.557377, 23100.000000), (18125.301205, 23100.000000), (21927.593676, 21163.863343), (7359.674235, 13506.367226), (3198.535565, 14163.389121)))	(((3363.114929, 15000.000889), (5000.000000, 15000.000000), (4999.999698, 13878.947416), (3198.535565, 14163.389121), (3363.114929, 15000.000889)))
00008	 23	 -0.8300	 0.8200	 0.0000	 1.5737	 0.5070	(((-10828.341385, 1433.816425), (-12019.190077, 11258.318132), (-9981.552163, 12581.459635), (-6676.195900, 12619.020501), (-1696.879680, 9490.988517), (-10828.341385, 1433.816425)))	(((-5000.000358, 11566.025866), (-1696.879680, 9490.988517), (-5000.000000, 6576.470186), (-5000.000358, 11566.025866)))
00008	 2	 -0.3800	 0.3100	 0.0000	 1.3480	 0.6478	(((-1696.879680, 9490.988517), (-1221.745338, 9476.255669), (-1109.544541, 9284.494307), (-765.191386, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-11383.768797, 0.038686), (-10828.341385, 1433.816425), (-1696.879680, 9490.988517)))	(((-5000.000000, 6576.470864), (-1696.879680, 9490.988517), (-1221.745338, 9476.255669), (-1109.544541, 9284.494307), (-1033.039156, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 6576.470864)))
00008	 47	 -0.3400	 1.6000	 0.0000	 1.8533	 0.9244	(((-5253.200000, 19734.000000), (-2779.320480, 20360.298613), (1542.146242, 12837.745430), (-1221.745338, 9476.255669), (-1696.879680, 9490.988517), (-6676.195900, 12619.020501), (-5253.200000, 19734.000000)))	(((-4999.999352, 11566.025234), (-5000.000000, 15000.000000), (299.999726, 15000.000476), (1542.146242, 12837.745430), (-1221.745338, 9476.255669), (-1696.879680, 9490.988517), (-4999.999352, 11566.025234)))
00008	 8	 0.1300	 1.8700	 0.0000	 1.8044	 0.8105	(((1542.146242, 12837.745430), (-2779.320480, 20360.298613), (117.814570, 24093.145695), (1952.190047, 24483.799732), (4966.443253, 22427.015192), (3481.054440, 13663.221197), (1542.146242, 12837.745430)))	(((299.999616, 15000.000669), (3707.627241, 15000.000722), (3481.054440, 13663.221197), (1542.146242, 12837.745430), (299.999616, 15000.000669)))
00008	 33	 0.1800	 0.3200	 0.0000	 1.0608	 0.8001	(((-765.189263, -10000.000000), (-1109.544541, 9284.494307), (9868.103448, 1559.482759), (10958.037779, 0.038255), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-765.189263, -10000.000000)))	(((-1033.038601, 5000.000000), (-1109.544541, 9284.494307), (4978.946873, 5000.000000), (-1033.038601, 5000.000000)))
00008	 17	 0.5600	 0.8600	 0.0000	 1.4894	 0.5029	(((1542.146242, 12837.745430), (3481.054440, 13663.221197), (7591.913440, 12940.432802), (9868.103448, 1559.482759), (-1109.544541, 9284.494307), (-1221.745338, 9476.255669), (1542.146242, 12837.745430)))	(((4999.999521, 13396.153930), (5000.000000, 5000.000000), (4978.948429, 5000.000000), (-1109.544541, 9284.494307), (-1221.745338, 9476.255669), (1542.146242, 12837.745430), (3481.054440, 13663.221197), (4999.999521, 13396.153930)))
00008	 29	 0.7200	 1.7700	 0.0000	 0.8835	 0.6407	(((3481.054440, 13663.221197), (4966.443253, 22427.015192), (17430.314465, 22558.213836), (22251.875000, 20087.164062), (7591.913440, 12940.432802), (3481.054440, 13663.221197)))	(((3707.627159, 15000.000238), (5000.000000, 15000.000000), (5000.000199, 13396.153811), (3481.054440, 13663.221197), (3707.627159, 15000.000238)))
00009	 23	 -0.8100	 0.7800	 0.0000	 1.6442	 0.4338	(((-10084.693379, 1830.845346), (-11933.109514, 10646.368451), (-9708.163265, 12100.000000), (-6618.367347, 12100.000000), (-1367.041102, 8575.137178), (-1362.177450, 8410.988941), (-10084.693379, 1830.845346)))	(((-4999.999750, 11013.698462), (-1367.041102, 8575.137178), (-1362.177450, 8410.988941), (-5000.000000, 5666.667686), (-4999.999750, 11013.698462)))
00009	 2	 -0.3800	 0.2100	 0.0000	 1.5074	 0.5492	(((-1362.177450, 8410.988941), (-1051.624815, 7942.614476), (-736.882729, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-10852.006829, 0.000000), (-10084.693379, 1830.845346), (-1362.177450, 8410.988941)))	(((-5000.000000, 5666.667672), (-1362.177450, 8410.988941), (-1051.624815, 7942.614476), (-1000.006771, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 5666.667672)))
