#framerate (fps):	10.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon	Intersection Polygon
00000	 10	 -0.4000	 0.8000	 0.0000	 2.9630	 0.6478	(((-9250.000000, 8750.000000), (-8500.000000, 9500.000000), (-2500.000000, 9500.000000), (500.000000, 6500.000000), (-4000.000000, 4250.000000), (-8500.000000, 6500.000000), (-9250.000000, 8750.000000)))	(((-5000.000000, 9500.000000), (-2500.000000, 9500.000000), (500.000000, 6500.000000), (-2500.000000, 5000.000000), (-5000.000000, 5000.000000), (-5000.000000, 9500.000000)))
00000	 1	 -0.4000	 1.1000	 0.0000	 3.2407	 0.1811	(((-8500.000000, 9500.000000), (-4642.857143, 17214.285714), (-3500.000000, 17500.000000), (-2500.000000, 15500.000000), (-2500.000000, 9500.000000), (-8500.000000, 9500.000000)))	(((-5000.000000, 9500.000000), (-5000.000000, 15000.000000), (-2500.000000, 15000.000000), (-2500.000000, 9500.000000), (-5000.000000, 9500.000000)))
00000	 42	 -0.1000	 0.2000	 0.0000	 1.2549	 0.9732	(((500.000000, 6500.000000), (2000.000000, 6000.000000), (2000.000000, -10000.000000), (-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-4000.000000, 4250.000000), (500.000000, 6500.000000)))	(((2000.000000, 5000.000000), (-2500.000000, 5000.000000), (500.000000, 6500.000000), (2000.000000, 6000.000000), (2000.000000, 5000.000000)))
00000	 36	 -0.1000	 1.1000	 0.0000	 5.5556	 0.5261	(((500.000000, 6500.000000), (-2500.000000, 9500.000000), (-2500.000000, 15500.000000), (500.000000, 12500.000000), (500.000000, 6500.000000)))	(((-2500.000000, 15000.000000), (-2000.000000, 15000.000000), (500.000000, 12500.000000), (500.000000, 6500.000000), (-2500.000000, 9500.000000), (-2500.000000, 15000.000000)))
00000	 22	 0.2000	 1.1000	 0.0000	 3.2520	 0.7547	(((500.000000, 12500.000000), (3500.000000, 12500.000000), (6500.000000, 9500.000000), (6500.000000, 7500.000000), (2000.000000, 6000.000000), (500.000000, 6500.000000), (500.000000, 12500.000000)))	(((5000.000000, 11000.000000), (5000.000000, 7000.000000), (2000.000000, 6000.000000), (500.000000, 6500.000000), (500.000000, 12500.000000), (3500.000000, 12500.000000), (5000.000000, 11000.000000)))
00000	 37	 0.2000	 1.4000	 0.0000	 2.4526	 0.3688	(((500.000000, 12500.000000), (-2500.000000, 15500.000000), (-3500.000000, 17500.000000), (-1500.000000, 19500.000000), (2136.363636, 20409.090909), (3500.000000, 19500.000000), (3500.000000, 12500.000000), (500.000000, 12500.000000)))	(((-2000.000000, 15000.000000), (3500.000000, 15000.000000), (3500.000000, 12500.000000), (500.000000, 12500.000000), (-2000.000000, 15000.000000)))
00000	 18	 0.5000	 0.2000	 0.0000	 1.7857	 0.1612	(((2000.000000, -10000.000000), (2000.000000, 6000.000000), (6500.000000, 7500.000000), (9500.000000, 5500.000000), (9500.000000, 0.000000), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (2000.000000, -10000.000000)))	(((5000.000000, 7000.000000), (5000.000000, 5000.000000), (2000.000000, 5000.000000), (2000.000000, 6000.000000), (5000.000000, 7000.000000)))
00000	 13	 0.5000	 1.4000	 0.0000	 3.0303	 0.1897	(((6500.000000, 9500.000000), (3500.000000, 12500.000000), (3500.000000, 19500.000000), (6500.000000, 18500.000000), (8000.000000, 15500.000000), (8000.000000, 12500.000000), (6500.000000, 9500.000000)))	(((3500.000000, 15000.000000), (5000.000000, 15000.000000), (5000.000000, 11000.000000), (3500.000000, 12500.000000), (3500.000000, 15000.000000)))
00001	 1	 -0.4400	 1.1200	 0.0000	 3.1051	 0.1414	(((-8368.678815, 8848.633257), (-5518.383659, 16686.944938), (-3900.944460, 16995.728785), (-2230.082988, 14145.435685), (-2950.725163, 9245.068891), (-8368.678815, 8848.633257)))	(((-4999.999395, 9095.121995), (-5000.000000, 15000.000000), (-2731.034454, 14999.999952), (-2230.082988, 14145.435685), (-2950.725163, 9245.068891), (-4999.999395, 9095.121995)))
00001	 10	 -0.4100	 0.7100	 0.0000	 2.8270	 0.6356	(((-9083.049200, 8169.395843), (-8368.678815, 8848.633257), (-2950.725163, 9245.068891), (287.861272, 6456.286127), (622.792937, 5765.489567), (-3605.548854, 3510.373945), (-8321.863848, 5913.024979), (-9083.049200, 8169.395843)))	(((-4999.999861, 9095.121961), (-2950.725163, 9245.068891), (287.861272, 6456.286127), (622.792937, 5765.489567), (-812.501159, 4999.999382), (-5000.000000, 5000.000000), (-4999.999861, 9095.121961)))
00001	 36	 -0.1000	 1.0700	 0.0000	 5.3527	 0.4903	(((-2230.082988, 14145.435685), (943.429158, 12192.505133), (287.861272, 6456.286127), (-2950.725163, 9245.068891), (-2230.082988, 14145.435685)))	(((-2230.082988, 14145.435685), (943.429158, 12192.505133), (287.861272, 6456.286127), (-2950.725163, 9245.068891), (-2230.082988, 14145.435685)))
00001	 42	 -0.0900	 0.1100	 0.0000	 1.2664	 0.9899	(((-2500.000000, -10000.000000), (-2500.000000, -1500.000000), (-4000.000000, 0.000000), (-4022.035808, 0.000000), (-3605.548854, 3510.373945), (622.792937, 5765.489567), (1639.887640, 5389.606742), (2538.401529, -1461.598471), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-2500.000000, -10000.000000)))	(((-812.501209, 4999.999355), (622.792937, 5765.489567), (1639.887640, 5389.606742), (1690.983433, 4999.999229), (-812.501209, 4999.999355)))
