,0.6,1.15,1.7,2.25,2.8
0,2.041984111616093,1.2437781056485517,2.1164989468199,1.3259875939752919,1.2845214514937953
1,2.038903448526573,1.2474362495654292,2.113589126297443,1.3354520597076276,1.2894756682518898
2,2.023168789449041,1.261299172277136,2.1133743235194022,1.3414468934166734,1.3086372207383365
3,2.046058642064993,1.2868470757768335,2.1064737202411434,1.3628691166002327,1.3515518867628638
4,2.0501481848190366,1.3165828395519532,2.0935919911996668,1.3691821154988577,1.390992961213451
5,2.031778779529268,1.3296600485894736,2.104599995006794,1.3879087062306457,1.4340507550374146
6,2.0182833402865437,1.3357948582253985,2.1087111095000712,1.418717237306221,1.4510825506693628
7,2.011955354624376,1.361131413849406,2.1325106712418576,1.4323689670335695,1.4744694006766073
8,2.029158131397045,1.4006325145392007,2.146706792977664,1.496233141760872,1.5248708058227205
9,2.0376432053078073,1.4528784927524885,2.1526993152393583,1.5391605755855144,1.572159398455332
10,2.0358894364034565,1.4889546750855909,2.1692213071112847,1.5599327058627528,1.6006160249733656
11,2.0625300128484407,1.486496625185523,2.1765626692872058,1.5694499786470208,1.638354850914795
12,2.101776582060157,1.5103955175509278,2.17973188803262,1.594629335632536,1.6440761020277492
13,2.1178761264155885,1.5606357329529863,2.1775704165086243,1.636990197331047,1.687553831446725
14,2.110310602799923,1.6031805642205084,2.204825124260674,1.711731897962281,1.7285080401683561
15,2.082012226753141,1.6457666410122769,2.221431503591856,1.7839620044363347,1.7566547059083382
16,2.03787292772391,1.680329247921861,2.2466185250737234,1.8412803607715391,1.8002885177925203
17,2.017506414690289,1.7239818648775356,2.2381483121269334,1.862961409556659,1.822285249463581
18,2.006714996692557,1.7552921026759005,2.2711047046097352,1.8924276238948414,1.8492049929923624
19,2.0541330821297192,1.7804031347185207,2.310268152359118,1.9160138199655652,1.8469670547930732
20,2.0536119288458976,1.8222745283616066,2.339314637876329,1.9547344228931878,1.859688548549312
21,2.064918325945034,1.8494840541717534,2.4055681273130762,1.9883123853285987,1.886741156145079
22,2.0447505852998353,1.8462367434851672,2.446741085476643,2.02561904475821,1.932765087958102
23,2.0750493545261848,1.8410283649792216,2.4975070152963816,2.094607438318913,1.9561255327651457
24,2.0964120808991873,1.8250293858732756,2.5495105177596846,2.1317591702370824,1.9848475198564839
25,2.0910754565998886,1.8519549236558113,2.585593288091998,2.189270393320592,2.0165036042272693
26,2.1115380906609977,1.8667875112517947,2.6636486626102602,2.241126060584579,2.0368920232555827
27,2.0885443903659926,1.894118291447561,2.7212959183139906,2.29112863999057,2.058575203682007
28,2.0930244043694755,1.9334299475759096,2.7735962279572006,2.3363148459849303,2.086427427695364
29,2.128401023560204,1.9447348297364042,2.839751717059222,2.3795902440999877,2.1191745800889747
30,2.157670937770179,1.9743508662652642,2.875361382249194,2.397522951487615,2.174534845641837
31,2.172151784003361,2.004063969083432,2.9221868246890548,2.4231748068772574,2.2112663426105765
32,2.1611325307483167,2.045881407893276,2.945404439923389,2.4490430509754644,2.2618578370989884
33,2.1716652868492243,2.0715227556816544,2.9722281423787944,2.473593471117599,2.3149787754981803
34,2.1770229204737848,2.100277482886567,3.0132867965394765,2.504276702270849,2.3806858680587384
35,2.18059046854087,2.118175006851119,3.0411104341631767,2.5410124096525215,2.4345532792075364
36,2.185959234239376,2.1418903270617595,3.072969353829147,2.5601692257360167,2.490922021098647
37,2.202565706821273,2.1697758236479094,3.1175419811947886,2.5813542308107738,2.554416539263884
38,2.219867353905254,2.2068818534375705,3.1377173291989457,2.6138456104732692,2.603948889904925
39,2.1767435065531218,2.214148621985926,3.1899167103069725,2.6609395008047585,2.64299152525132
40,2.1804146283284593,2.22197228430575,3.2222598295604943,2.7013928900878237,2.6907127479198705
41,2.1498640318893782,2.238910430196886,3.2700081318610588,2.7409766761930463,2.7292756269115337
42,2.0787580591174537,2.2277494034378766,3.3338634051095766,2.788291130154694,2.7642638225890654
43,2.049798014827524,2.235067901167612,3.3743900521820116,2.8276709644317712,2.8107383693893304
44,2.0456129760663764,2.2384471213858985,3.420442000904432,2.8554134249368763,2.845737781597526
45,1.9911651784994115,2.2701049830791913,3.4598968047700502,2.8843665057699526,2.899563277338596
46,1.9956960274057707,2.3247556708892985,3.503972481255405,2.915805850555047,2.94041398518423
47,2.0293958627333963,2.362564817461936,3.5457837172131916,2.941034691884288,2.9733266495985693
48,2.050842379057242,2.3907299457571396,3.595211506483742,2.9736981459651117,3.017553239848864
49,2.06684626525605,2.435568855008486,3.6444492416287737,3.006800749804623,3.063523440608685
50,2.0781364518018823,2.479509343432375,3.686978015645599,3.0388546761663986,3.101216932373965
51,2.09192437353151,2.5116975278505116,3.732352614168762,3.0798244888561253,3.143119712241322
52,2.1253952048999603,2.5313834178994252,3.763218479024253,3.105515831052985,3.1789399094156057
53,2.1263155030382426,2.547464509152818,3.8102286553371476,3.134782867973597,3.2210236944184625
