category,mean,p025,p975
0,6.23240889545591,5.508103507162346,7.319627802614677
1,7.73825579222666,7.081649308671844,8.65036397776664
2,7.088320172364884,6.334649021363121,8.370810729012126
3,6.785738897295048,6.074863497098574,7.356845148514035
4,8.136651142233477,7.120589157430709,9.15857669285873
5,6.895999721248154,6.05282190906614,7.485867177161846
