#framerate (fps):	25.00

#Frame	PersID	x/m	y/m	z/m	Individual density(m^(-2))	Individual velocity(m/s)	Voronoi Polygon	Intersection Polygon
00003	 49	 0.4400	 0.1900	 0.0000	 0.7332	 0.5000	(((-992.282093, -10000.000000), (-1102.767329, 2154.406233), (2183.794259, 7610.098471), (11704.984894, 7185.045317), (12557.204385, 6628.987210), (14829.999059, 0.002744), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-992.282093, -10000.000000)))	(((4999.999447, 7484.375025), (5000.000000, 5000.000000), (611.446444, 5000.001096), (2183.794259, 7610.098471), (4999.999447, 7484.375025)))
00003	 39	 0.4900	 1.3100	 0.0000	 0.8932	 0.7649	(((-291.094891, 17873.868613), (6954.854369, 21435.436893), (11704.984894, 7185.045317), (2183.794259, 7610.098471), (1138.146341, 9094.243902), (-291.094891, 17873.868613)))	(((176.744123, 15000.000389), (5000.000000, 15000.000000), (4999.999696, 7484.375014), (2183.794259, 7610.098471), (1138.146341, 9094.243902), (176.744123, 15000.000389)))
00004	 28	 -0.3800	 0.6500	 0.0000	 1.9530	 0.6801	(((-9718.945356, 6774.713290), (-7205.591054, 9166.453674), (925.283447, 9010.090703), (2021.913930, 7488.958097), (-1149.095477, 1851.608040), (-9718.945356, 6774.713290)))	(((-5000.000166, 9124.038465), (925.283447, 9010.090703), (2021.913930, 7488.958097), (621.874739, 4999.999537), (-5000.000000, 5000.000000), (-5000.000166, 9124.038465)))
00004	 2	 -0.3700	 1.1700	 0.0000	 1.6512	 0.2915	(((-5878.238342, 17130.569948), (-3363.130680, 18352.193670), (-86.449481, 17609.820585), (925.283447, 9010.090703), (-7205.591054, 9166.453674), (-5878.238342, 17130.569948)))	(((-4999.999599, 9124.038454), (-5000.000000, 15000.000000), (220.588280, 14999.999620), (925.283447, 9010.090703), (-4999.999599, 9124.038454)))
00004	 49	 0.4200	 0.2000	 0.0000	 0.7570	 0.5590	(((-927.586413, -10000.000000), (-1149.095477, 1851.608040), (2021.913930, 7488.958097), (11525.875055, 6956.025698), (12346.899736, 6400.626649), (14492.767044, 0.022437), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-927.586413, -10000.000000)))	(((4999.999282, 7321.962657), (5000.000000, 5000.000000), (621.875322, 5000.000572), (2021.913930, 7488.958097), (4999.999282, 7321.962657)))
00004	 39	 0.4800	 1.2700	 0.0000	 0.9315	 0.7159	(((-86.449481, 17609.820585), (6826.953789, 20890.757730), (11525.875055, 6956.025698), (2021.913930, 7488.958097), (925.283447, 9010.090703), (-86.449481, 17609.820585)))	(((220.588181, 15000.000460), (5000.000000, 15000.000000), (5000.000129, 7321.962610), (2021.913930, 7488.958097), (925.283447, 9010.090703), (220.588181, 15000.000460)))
00005	 28	 -0.3700	 0.6100	 0.0000	 2.0395	 0.7521	(((-9398.213034, 6680.273301), (-7054.995540, 8911.909010), (907.892454, 8767.129228), (1913.108908, 7410.884806), (-1243.394286, 1559.805714), (-9398.213034, 6680.273301)))	(((-4999.999798, 8874.545451), (907.892454, 8767.129228), (1913.108908, 7410.884806), (612.499964, 4999.999932), (-5000.000000, 5000.000000), (-4999.999798, 8874.545451)))
00005	 2	 -0.3600	 1.1600	 0.0000	 1.6360	 0.1768	(((-6022.089070, 16787.820840), (-3318.075323, 18100.448872), (91.747762, 17336.648501), (907.892454, 8767.129228), (-7054.995540, 8911.909010), (-6022.089070, 16787.820840)))	(((-4999.999627, 8874.545448), (-5000.000000, 15000.000000), (314.285745, 14999.999673), (907.892454, 8767.129228), (-4999.999627, 8874.545448)))
00005	 49	 0.3900	 0.2000	 0.0000	 0.7771	 0.5303	(((-1018.982566, -10000.000000), (-1243.394286, 1559.805714), (1913.108908, 7410.884806), (11509.740413, 6580.407080), (12120.600858, 6153.264061), (14147.961159, 0.047712), (4000.000000, 0.000000), (2500.000000, -1500.000000), (2500.000000, -10000.000000), (-1018.982566, -10000.000000)))	(((4999.999392, 7143.750053), (5000.000000, 5000.000000), (612.500097, 5000.000180), (1913.108908, 7410.884806), (4999.999392, 7143.750053)))
00005	 39	 0.4800	 1.2400	 0.0000	 0.9592	 0.7357	(((91.747762, 17336.648501), (6703.702410, 20501.344743), (11509.740413, 6580.407080), (1913.108908, 7410.884806), (907.892454, 8767.129228), (91.747762, 17336.648501)))	(((314.285702, 15000.000131), (5000.000000, 15000.000000), (4999.999834, 7143.750014), (1913.108908, 7410.884806), (907.892454, 8767.129228), (314.285702, 15000.000131)))
