0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.241	0.241	
0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.241	0.222	
0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.241	0.241	0.222	
0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.241	0.222	0.222	
0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.241	0.222	0.222	
0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.241	0.241	0.222	0.222	
0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.241	0.222	0.222	0.222	
0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.241	0.222	0.222	0.222	
0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.241	0.241	0.222	0.222	0.222	
0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.259	0.241	0.222	0.222	0.222	0.222	
